id,symptoms,possible_condition,severity,urgency_level,home_remedy,when_to_seek_help,specialist_needed,common_in_sri_lanka
1,fever;headache;body aches;chills,Dengue Fever or Flu,High,URGENT,Rest;fluids;paracetamol only - NO brufen or aspirin,Fever above 38.5C;rash appears;bleeding gums;severe pain,General Physician,Yes - dengue very common
2,high fever;severe headache;rash;joint pain,Dengue Hemorrhagic Fever,Critical,EMERGENCY,Go to hospital immediately - do not delay,Immediately - this is an emergency,Emergency Department,Yes - dengue season April-November
3,cough;cold;runny nose;mild fever,Common Cold or Flu,Low,CAN WAIT,Steam inhalation;honey ginger tea;rest;hydration,Fever over 38C for 3 days;breathing difficulty,General Physician if needed,Very common
4,chest pain;shortness of breath;sweating,Heart Attack or Angina,Critical,EMERGENCY,Call 1990 immediately;chew aspirin if available,Immediately - call ambulance,Cardiologist - Emergency,Increasing in Sri Lanka
5,stomach pain;diarrhea;vomiting;nausea,Gastroenteritis or Food Poisoning,Medium,SEEK HELP TODAY,ORS solution;boiled water;bland diet;rest,Blood in stool;severe dehydration;high fever,General Physician,Very common especially monsoon
6,difficulty breathing;wheezing;chest tightness,Asthma Attack,High,URGENT,Use inhaler if available;sit upright;stay calm,No inhaler available;lips turning blue;severe difficulty,Pulmonologist,Common - pollution related
7,frequent urination;excessive thirst;fatigue;blurred vision,Diabetes Symptoms,Medium,SEEK HELP THIS WEEK,Reduce sugar and carbs;increase water intake,Any of these symptoms present,Diabetologist or General Physician,Very common in Sri Lanka
8,headache;dizziness;blurred vision;chest pain,High Blood Pressure,High,SEEK HELP TODAY,Rest;reduce salt;avoid stress,Severe headache;nausea;confusion,General Physician or Cardiologist,Very common in Sri Lanka
9,joint pain;swelling;stiffness;fever,Chikungunya or Arthritis,Medium,SEEK HELP THIS WEEK,Warm compress;paracetamol;rest;anti-inflammatory diet,Cannot walk;very high fever;spreading swelling,Rheumatologist or General Physician,Chikungunya common in Sri Lanka
10,skin rash;itching;redness;hives,Allergic Reaction or Dermatitis,Low to Medium,SEEK HELP TODAY,Cool compress;avoid allergen;antihistamine,Swelling of face lips throat;difficulty breathing,Dermatologist or General Physician,Common
11,sore throat;difficulty swallowing;fever,Tonsillitis or Throat Infection,Medium,SEEK HELP TODAY,Warm salt water gargle;honey;rest;hydration,High fever;cannot swallow;difficulty breathing,ENT Specialist or General Physician,Common in children
12,ear pain;hearing loss;discharge from ear,Ear Infection,Medium,SEEK HELP THIS WEEK,Keep ear dry;warm compress outside,Severe pain;high fever;dizziness,ENT Specialist,Common in children
13,abdominal pain;bloating;heartburn;acidity,Gastric Ulcer or GERD,Low to Medium,SEEK HELP THIS WEEK,Avoid spicy oily food;eat small meals;antacid,Vomiting blood;black stool;severe pain,Gastroenterologist,Very common - spicy food diet
14,sadness;hopelessness;loss of interest;sleep problems,Depression or Anxiety,Medium,SEEK HELP THIS WEEK,Talk to someone trusted;exercise;sunlight;routine,Thoughts of self harm;cannot function daily,Psychiatrist or Counselor,Increasing post-economic crisis
15,yellow skin;yellow eyes;dark urine;fatigue,Jaundice or Hepatitis,High,URGENT,Rest;avoid fatty food;hydration,Any jaundice symptoms - see doctor today,General Physician or Gastroenterologist,Hepatitis A common after floods
16,burning urination;frequent urination;cloudy urine,Urinary Tract Infection,Medium,SEEK HELP TODAY,Drink plenty water;cranberry juice;avoid caffeine,High fever;back pain;blood in urine,General Physician,Common especially in women
17,toothache;swollen gum;facial swelling,Dental Abscess or Infection,Medium,SEEK HELP TODAY,Salt water rinse;cold compress;paracetamol,Swelling spreading to neck;difficulty swallowing,Dentist,Common
18,eye redness;discharge;itching;swelling,Conjunctivitis or Eye Infection,Low,SEEK HELP THIS WEEK,Clean with clean water;avoid touching eyes,Vision loss;severe pain;photophobia,Ophthalmologist or General Physician,Very common during outbreaks
19,back pain;cannot sit or stand;numbness in leg,Slipped Disc or Sciatica,Medium,SEEK HELP THIS WEEK,Rest;heat pack;gentle stretching,Cannot control bladder;numbness spreading,Orthopedic Surgeon or Neurologist,Common in manual workers
20,rapid weight loss;night sweats;prolonged cough;blood in sputum,Tuberculosis,High,URGENT,See doctor immediately - TB is treatable,Any of these symptoms together,Pulmonologist,Still present in Sri Lanka
21,severe abdominal pain;rigid abdomen;cannot walk upright,Appendicitis,Critical,EMERGENCY,Do not eat or drink;go to emergency immediately,Immediately - this is a surgical emergency,General Surgeon,Common
